job,count
spg mall 🎽,1
admin 📑,1
secretary 👩🏽‍💻 ,1
teller 💵💰,1
asst. mgr. marketing 📊📈,1
sales vendor for intel. ,1
call center sales for restoration hardware,1
the home depot ,1
video game journalist,1
dj at a metal club,1
staff at gamestation,1
staff at blockbuster video,1
contract copywriter for banks,1
waitress (tesco cafe!),1
deputy stage manager,1
administration officer,1
uoa student ambassador and equity ambassador,1
qantas call centre,1
containers slave,1
vic uni enrolment office,1
nuclear refuelling operator,1
team leader of above role,1
emergency preparedness engineer,1
operations planner,1
socialmedia marketing and training,1
supervisor of a clothes shop,1
content writer,1
mum - the best job ever! 💛,1
target cashier,1
after school sports camp coach,1
military police soldier,1
fire alarm/clock repairman,1
gamestop employee,1
printing factory worker,1
match day hospitality (fulham fc),1
project management,1
sales,1
account management,1
bar person 2. weigh bridge operator 3. auxiliary nurse 4. paper mill technician 5. teacher #5jobsivehad https://t.co/wlxytjevxo,1
pub cook,1
graduation photography assistant,1
bookshop assistant,1
office manager,1
aircon repairman,1
it engineer,1
vacuum pump and compressors specialist ,1
dishwasher at an old folks home 2. assistant at local pet store 3. waitress for events at te papa 4. housekeeper 5. call center employee #5jobsivehad,1
still none,1
pest termite control,1
white water rafting guide,1
wedding/event decorating assistant,1
hungry jacks drive-thru worker,1
barista/waitress/shop assistant/cleaner/amateur baker with no training.. you name it lmao,1
woolies check out chick,1
sep/english teacher,1
nail technician,1
fragrance supervisor ,1
i.t training supervisor ,1
events director ,1
taloussihteeri (financial secretary),1
myyjä pelikaupassa (gamestore seller),1
service desk,1
toimistosihteeri (officeworker),1
huoltoasematyöntekijä (gas station worker),1
mcdonald's kitchen staff,1
door to door sales person,1
automotive factory assembly worker,1
west 49 retail sales associate,1
speech pathologist 🙊🗣️,1
research assistant 💻🔬,1
barista (not barrister) ☕️🎓,1
chief paper shredder/junior office assistant 📃,1
thrower of fried chicken into buckets at kfc 🍗,1
supervisor at the coop,1
radio presenter - public facing,1
office bod - vm consultancy,1
office manager - hr consultancy,1
early years teacher,1
suit salesperson ,1
black bin bag warehouse guy,1
talk sport wrestling show radio co-host,1
museum &amp; gallery educator ,1
art consultant ,1
snow cone maker 🍧,1
@hottopic employee ☠️,1
@gamestop employee👾,1
professional hair stylist and makeup artist 💇‍♀️,1
doggie daycare ‘canine coach’ 🐶,1
frozen foods shop assistant,1
salad bar prepper,1
painter and decorator,1
3d environment artist,1
chicken factory worker,1
banana picker,1
burger king manager,1
hospital sales manager (by far the worst),1
payday loan call centre bod,1
sales door to door,1
sales laptop,1
teknisi laptop,1
main judi online,1
voice support - tech,1
i.t. infrastructure support engineer,1
i.t. project management,1
technology writer / editor,1
content marketeer,1
sandwich artist ,1
ice cream maker ,1
fabric cutter ,1
framer (i put pictures in frames),1
babysitter https://t.co/wotuavxyus,1
sales on a chinese porcelain ideal home show stand ,1
tv producer ,1
social media marketer,1
systems administrator,1
caretaker of the elderly,1
mowed lawns,1
painted houses,1
concession stand coolly at drive in movie theater,1
electronics technician,1
semiconductor engineer,1
caregiver for my grandma,1
hr assistant,1
technical recruiter,1
creative writer,1
general contractor assistant,1
printing and shipping specialist,1
graphic design and outsourcing,1
field tech for municipal water,1
homeschool learning coach,1
barista ☕️,1
"professional choreographer, dancer, and instructor🕺🏻💃🏻",1
actor for commercial 👨🏻,1
steve madden 🥿👠👢,1
rsm for the best company ever!!!!!! 🦄,1
trainee accountant ,1
quality control supervisor ,1
holographic engineer ,1
meat worker,1
catalogue deliverer,1
fruit picker,1
rip curl clothing,1
asb bank ,1
national australia b ank ,1
shop assistant at oliver's shoes,1
waitress &amp; bar wench (at many places),1
handing out flyers for a comedy company at the edinburgh festival,1
press office assistant for @bccare,1
head of marketing for @realideasorg,1
waitress in ice cream parlour (best job),1
data entry for sussex ambulance service,1
"call centre operative (hello, caller?)",1
painter of collectible pewter aircraft(!),1
commissioning editor of children's books,1
"escape artist - climbing prison fences/walls (to test security, multiple prisons)",1
tea sommelier assistant,1
"theatre, audience development",1
comic &amp; freelance writer,1
family &amp; portrait photographer,1
mover,1
assistant manager of an outlet store,1
eviction notice deliverer,1
stadtarchivarin von uster,1
praktikantin bei mtvs gameone,1
"tv-redakteurin (pr) für nintendo, ea, activision, sega, thq",1
versicherungsfachangestellte für grossyachten mit versicherungssumme &gt;2.5 mio €,1
"marktpartnermanagerin im energiehandel mit ""öko""strom",1
apprentice signmaker,1
liquor store customer assistant,1
used car salesperson,1
(soon™) freelance miniature painter!,1
screenprinter,1
laundry delivery driver,1
meth decontamination specialist,1
footlocker manager https://t.co/f6pwlcczqu,1
lawnmowing,1
 quality inspector,1
cna,1
emt/medic,1
home health aide https://t.co/xxhpyaiqdg,1
hungry jack’s broiler/fries/drinks operator; burger make up artiste; front counter dj; car park/toilets cleaner; manager,1
"shelf stacker (while on hols in the uk, xmas ‘84)",1
glass cleaner at local pub (same uk hols),1
newspaper journo,1
media business owner #5jobsivehad,1
teaching instructor ,1
imax usher at a non-profit (longest job i’ve had),1
food service at the oregon zoo,1
homeless housing guidance ,1
sex worker,1
zamboni driver ,1
spanish teacher,1
safeway cashier,1
fitness centre supervisor,1
trabajos que he tenido:,1
cajera en una farmacia. ,1
instructora en campamento de verano. ,1
vendedora en tienda de tecnología. ,1
maestra de inglés en primaria. ,1
profesora de cocina. ,1
aircraft mechanic,1
paint sprayer,1
woodworker,1
guitar repairer/sales,1
industrial doors engineer,1
disappointment ,1
failure,1
???,1
- psychic,1
- soldier (army),1
- barista,1
- dog groomer,1
- sex store marketing/manager,1
stroopwafel apprentice,1
recipe creator ,1
packaging designer,1
website developer ,1
small business owner ,1
offshore engineer intern,1
editor and writing instructor,1
mc / tv presenter,1
business development manager,1
supré,1
telecom,1
some random furniture factory in otahuhu,1
st. george bank call centre,1
foxtel,1
customer support executive,1
tech support quality analyst,1
soft skills trainer,1
